SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,89800
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",1965-03-31,26172
EMR,Emerson Electric Company,reports,Industrials,Industrial Conglomerates,"Ferguson, Missouri",1965-03-31,32604
SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1965-03-31,87347
CSX,CSX Corp.,reports,Industrials,Railroads,"Jacksonville, Florida",1967-09-30,277948
CLX,The Clorox Company,reports,Consumer Staples,Household Products,"Oakland, California",1969-03-31,21076
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1969-03-31,40704
NEM,Newmont Mining Corp. (Hldg. Co.),reports,Materials,Gold,"Denver, Colorado",1969-06-30,1164727
MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment & Services,"North Chicago, Illinois",,1800
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,"San Jose, California",,796343
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",,874761
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",,4977
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment & Services,"Santa Clara, California",,1090872
AA,Alcoa Inc,reports,Materials,Aluminum,"New York, New York",,4281
AGN,Allergan plc,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",,884629
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",,899051
ALTR,Altera Corp,reports,Information Technology,Semiconductors,"San Jose, California",,768251
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",,764180
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",,4904
AMP,Ameriprise Financial,reports,Financials,Diversified Financial Services,"Minneapolis, Minnesota",,820027
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distribution & Services,"Chesterbrook, Pennsylvania",,1140859
APC,Anadarko Petroleum Corp,reports,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",,773910
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",,6281
AON,Aon plc,reports,Financials,Insurance Brokers,"London, United Kingdom",,315293
APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,6769
AIV,Apartment Investment & Mgmt,reports,Financials,REITs,"Denver, Colorado",,922864
AMAT,Applied Materials Inc,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",,6951
